ticker,as_of_dt,px_last,px_bid,px_ask,opt_implied_volatility_mid,opt_div_yield,opt_undl_px,opt_finance_rt,opt_strike_px,opt_put_call,opt_expire_dt
TSLA US 09/20/14 C2.5 Equity,8/25/2014,#N/A N/A,259.65,261.05,#N/A N/A,0,262.78,0.1490314,2.5,Call,9/20/2014
TSLA US 09/20/14 C5 Equity,8/25/2014,#N/A N/A,257.15,258.55,#N/A N/A,0,262.78,0.1490314,5,Call,9/20/2014
TSLA US 09/20/14 C7.5 Equity,8/25/2014,#N/A N/A,254.65,256.05,#N/A N/A,0,262.78,0.1490314,7.5,Call,9/20/2014
TSLA US 09/20/14 C10 Equity,8/25/2014,235.25,252.15,253.55,#N/A N/A,0,262.78,0.1490314,10,Call,9/20/2014
TSLA US 09/20/14 C12.5 Equity,8/25/2014,#N/A N/A,249.65,251.05,#N/A N/A,0,262.78,0.1490314,12.5,Call,9/20/2014
TSLA US 09/20/14 C15 Equity,8/25/2014,#N/A N/A,247.15,248.55,#N/A N/A,0,262.78,0.1490314,15,Call,9/20/2014
TSLA US 09/20/14 C17.5 Equity,8/25/2014,201.94,244.65,246.05,#N/A N/A,0,262.78,0.1490314,17.5,Call,9/20/2014
TSLA US 09/20/14 C20 Equity,8/25/2014,#N/A N/A,242.15,243.55,#N/A N/A,0,262.78,0.1490314,20,Call,9/20/2014
TSLA US 09/20/14 C22.5 Equity,8/25/2014,#N/A N/A,239.65,241.05,#N/A N/A,0,262.78,0.1490314,22.5,Call,9/20/2014
TSLA US 09/20/14 C25 Equity,8/25/2014,#N/A N/A,237.15,238.55,#N/A N/A,0,262.78,0.1490314,25,Call,9/20/2014
TSLA US 09/20/14 C30 Equity,8/25/2014,#N/A N/A,232.15,233.55,#N/A N/A,0,262.78,0.1490314,30,Call,9/20/2014
TSLA US 09/20/14 C35 Equity,8/25/2014,#N/A N/A,227.15,228.55,#N/A N/A,0,262.78,0.1490314,35,Call,9/20/2014
TSLA US 09/20/14 C40 Equity,8/25/2014,#N/A N/A,222.15,223.55,#N/A N/A,0,262.78,0.1490314,40,Call,9/20/2014
TSLA US 09/20/14 C45 Equity,8/25/2014,#N/A N/A,217.15,218.55,#N/A N/A,0,262.78,0.1490314,45,Call,9/20/2014
TSLA US 09/20/14 C50 Equity,8/25/2014,#N/A N/A,212.15,213.55,#N/A N/A,0,262.78,0.1490314,50,Call,9/20/2014
TSLA US 09/20/14 C55 Equity,8/25/2014,#N/A N/A,207.15,208.55,#N/A N/A,0,262.78,0.1490314,55,Call,9/20/2014
TSLA US 09/20/14 C60 Equity,8/25/2014,#N/A N/A,202.15,203.55,#N/A N/A,0,262.78,0.1490314,60,Call,9/20/2014
TSLA US 09/20/14 C65 Equity,8/25/2014,#N/A N/A,197.15,198.55,#N/A N/A,0,262.78,0.1490314,65,Call,9/20/2014
TSLA US 09/20/14 C70 Equity,8/25/2014,#N/A N/A,192.15,193.55,#N/A N/A,0,262.78,0.1490314,70,Call,9/20/2014
TSLA US 09/20/14 C75 Equity,8/25/2014,#N/A N/A,187.15,188.55,#N/A N/A,0,262.78,0.1490314,75,Call,9/20/2014
TSLA US 09/20/14 C80 Equity,8/25/2014,170.85,182.2,183.55,#N/A N/A,0,262.78,0.1490314,80,Call,9/20/2014
TSLA US 09/20/14 C85 Equity,8/25/2014,#N/A N/A,177.15,178.55,#N/A N/A,0,262.78,0.1490314,85,Call,9/20/2014
TSLA US 09/20/14 C90 Equity,8/25/2014,#N/A N/A,172.15,173.55,#N/A N/A,0,262.78,0.1490314,90,Call,9/20/2014
TSLA US 09/20/14 C95 Equity,8/25/2014,#N/A N/A,167.15,168.55,#N/A N/A,0,262.78,0.1490314,95,Call,9/20/2014
TSLA US 09/20/14 C100 Equity,8/25/2014,161.19,162.15,163.55,#N/A N/A,0,262.78,0.1490314,100,Call,9/20/2014
TSLA US 09/20/14 C105 Equity,8/25/2014,148.5,157.15,158.55,#N/A N/A,0,262.78,0.1490314,105,Call,9/20/2014
TSLA US 09/20/14 C110 Equity,8/25/2014,#N/A N/A,152.15,153.55,#N/A N/A,0,262.78,0.1490314,110,Call,9/20/2014
TSLA US 09/20/14 C115 Equity,8/25/2014,#N/A N/A,147.15,148.55,#N/A N/A,0,262.78,0.1490314,115,Call,9/20/2014
TSLA US 09/20/14 C120 Equity,8/25/2014,102,142.15,143.55,#N/A N/A,0,262.78,0.1490314,120,Call,9/20/2014
TSLA US 09/20/14 C125 Equity,8/25/2014,#N/A N/A,137.15,138.55,#N/A N/A,0,262.78,0.1490314,125,Call,9/20/2014
TSLA US 09/20/14 C130 Equity,8/25/2014,127.58,132.15,133.6,#N/A N/A,0,262.78,0.1490314,130,Call,9/20/2014
TSLA US 09/20/14 C135 Equity,8/25/2014,90.45,127.15,128.45,#N/A N/A,0,262.78,0.1490314,135,Call,9/20/2014
TSLA US 09/20/14 C140 Equity,8/25/2014,117.97,122.15,123.6,#N/A N/A,0,262.78,0.1490314,140,Call,9/20/2014
TSLA US 09/20/14 C145 Equity,8/25/2014,79.75,117.15,118.6,#N/A N/A,0,262.78,0.1490314,145,Call,9/20/2014
TSLA US 09/20/14 C150 Equity,8/25/2014,106.22,112.2,113.6,#N/A N/A,0,262.78,0.1490314,150,Call,9/20/2014
TSLA US 09/20/14 C155 Equity,8/25/2014,106.64,107.2,108.6,#N/A N/A,0,262.78,0.1490314,155,Call,9/20/2014
TSLA US 09/20/14 C160 Equity,8/25/2014,96.25,102.2,103.45,#N/A N/A,0,262.78,0.1490314,160,Call,9/20/2014
TSLA US 09/20/14 C165 Equity,8/25/2014,91.28,97.2,98.65,66.27556,0,262.78,0.1490314,165,Call,9/20/2014
TSLA US 09/20/14 C170 Equity,8/25/2014,92.1,92.2,93.45,#N/A N/A,0,262.78,0.1490314,170,Call,9/20/2014
TSLA US 09/20/14 C175 Equity,8/25/2014,91,87.25,88.45,#N/A N/A,0,262.78,0.1490314,175,Call,9/20/2014
TSLA US 09/20/14 C180 Equity,8/25/2014,81.44,82.25,83.45,#N/A N/A,0,262.78,0.1490314,180,Call,9/20/2014
TSLA US 09/20/14 C185 Equity,8/25/2014,73.8,77.25,78.5,#N/A N/A,0,262.78,0.1490314,185,Call,9/20/2014
TSLA US 09/20/14 C190 Equity,8/25/2014,71.75,72.3,73.5,#N/A N/A,0,262.78,0.1490314,190,Call,9/20/2014
TSLA US 09/20/14 C195 Equity,8/25/2014,66.81,67.35,68.5,44.12498,0,262.78,0.1490314,195,Call,9/20/2014
TSLA US 09/20/14 C200 Equity,8/25/2014,62,62.35,63.55,43.46085,0,262.78,0.1490314,200,Call,9/20/2014
TSLA US 09/20/14 C205 Equity,8/25/2014,57,57.4,58.55,41.66396,0,262.78,0.1490314,205,Call,9/20/2014
TSLA US 09/20/14 C210 Equity,8/25/2014,51.5,52.45,53.65,41.40956,0,262.78,0.1490314,210,Call,9/20/2014
TSLA US 09/20/14 C215 Equity,8/25/2014,47.67,47.55,48.7,39.85944,0,262.78,0.1490314,215,Call,9/20/2014
TSLA US 09/20/14 C220 Equity,8/25/2014,43.4,43.05,44,43.33025,0,262.78,0.1490314,220,Call,9/20/2014
TSLA US 09/20/14 C225 Equity,8/25/2014,37.97,37.8,39,36.93935,0,262.78,0.1490314,225,Call,9/20/2014
TSLA US 09/20/14 C227.5 Equity,8/25/2014,34.9,35.45,36.6,36.45443,0,262.78,0.1490314,227.5,Call,9/20/2014
TSLA US 09/20/14 C230 Equity,8/25/2014,33.68,33.1,34,34.55272,0,262.78,0.1490314,230,Call,9/20/2014
TSLA US 09/20/14 C232.5 Equity,8/25/2014,30.8,30.75,31.9,34.50927,0,262.78,0.1490314,232.5,Call,9/20/2014
TSLA US 09/20/14 C235 Equity,8/25/2014,28.8,28.5,29.7,34.69501,0,262.78,0.1490314,235,Call,9/20/2014
TSLA US 09/20/14 C237.5 Equity,8/25/2014,21.6,26.25,27.4,33.01292,0,262.78,0.1490314,237.5,Call,9/20/2014
TSLA US 09/20/14 C240 Equity,8/25/2014,24.65,24.45,25.25,35.03238,0,262.78,0.1490314,240,Call,9/20/2014
TSLA US 09/20/14 C242.5 Equity,8/25/2014,22.01,22.15,23,33.6817,0,262.78,0.1490314,242.5,Call,9/20/2014
TSLA US 09/20/14 C245 Equity,8/25/2014,20.71,20.45,20.85,34.53408,0,262.78,0.1490314,245,Call,9/20/2014
TSLA US 09/20/14 C247.5 Equity,8/25/2014,14.15,18.45,18.9,33.26348,0,262.78,0.1490314,247.5,Call,9/20/2014
TSLA US 09/20/14 C250 Equity,8/25/2014,16.9,16.65,17,33.82242,0,262.78,0.1490314,250,Call,9/20/2014
TSLA US 09/20/14 C252.5 Equity,8/25/2014,15.15,14.9,15.2,33.19453,0,262.78,0.1490314,252.5,Call,9/20/2014
TSLA US 09/20/14 C255 Equity,8/25/2014,13.36,13.25,13.65,33.16488,0,262.78,0.1490314,255,Call,9/20/2014
TSLA US 09/20/14 C257.5 Equity,8/25/2014,11.46,11.75,11.95,32.83799,0,262.78,0.1490314,257.5,Call,9/20/2014
TSLA US 09/20/14 C260 Equity,8/25/2014,10.5,10.3,10.45,32.74414,0,262.78,0.1490314,260,Call,9/20/2014
TSLA US 09/20/14 C262.5 Equity,8/25/2014,9.09,8.95,9.15,32.54714,0,262.78,0.1490314,262.5,Call,9/20/2014
TSLA US 09/20/14 C265 Equity,8/25/2014,7.87,7.8,7.95,32.29975,0,262.78,0.1490314,265,Call,9/20/2014
TSLA US 09/20/14 C267.5 Equity,8/25/2014,6.75,6.7,6.85,32.10896,0,262.78,0.1490314,267.5,Call,9/20/2014
TSLA US 09/20/14 C270 Equity,8/25/2014,5.86,5.7,5.85,32.14469,0,262.78,0.1490314,270,Call,9/20/2014
TSLA US 09/20/14 C272.5 Equity,8/25/2014,4.95,4.85,5,32.11252,0,262.78,0.1490314,272.5,Call,9/20/2014
TSLA US 09/20/14 C275 Equity,8/25/2014,4.05,4.1,4.25,32.05,0,262.78,0.1490314,275,Call,9/20/2014
TSLA US 09/20/14 C277.5 Equity,8/25/2014,3.05,3.5,3.55,31.93858,0,262.78,0.1490314,277.5,Call,9/20/2014
TSLA US 09/20/14 C280 Equity,8/25/2014,2.98,2.92,2.98,31.92193,0,262.78,0.1490314,280,Call,9/20/2014
TSLA US 09/20/14 C282.5 Equity,8/25/2014,2.24,2.45,2.5,32.05179,0,262.78,0.1490314,282.5,Call,9/20/2014
TSLA US 09/20/14 C285 Equity,8/25/2014,2.04,2.02,2.08,32.0827,0,262.78,0.1490314,285,Call,9/20/2014
TSLA US 09/20/14 C287.5 Equity,8/25/2014,1.6,1.68,1.73,32.16443,0,262.78,0.1490314,287.5,Call,9/20/2014
TSLA US 09/20/14 C290 Equity,8/25/2014,1.4,1.38,1.44,32.29364,0,262.78,0.1490314,290,Call,9/20/2014
TSLA US 09/20/14 C292.5 Equity,8/25/2014,0.96,1.05,1.21,32.01359,0,262.78,0.1490314,292.5,Call,9/20/2014
TSLA US 09/20/14 C295 Equity,8/25/2014,0.98,0.94,1,32.57051,0,262.78,0.1490314,295,Call,9/20/2014
TSLA US 09/20/14 C297.5 Equity,8/25/2014,0.79,0.73,0.83,32.43449,0,262.78,0.1490314,297.5,Call,9/20/2014
TSLA US 09/20/14 C300 Equity,8/25/2014,0.65,0.63,0.7,32.97719,0,262.78,0.1490314,300,Call,9/20/2014
TSLA US 09/20/14 C305 Equity,8/25/2014,0.46,0.41,0.49,33.33853,0,262.78,0.1490314,305,Call,9/20/2014
TSLA US 09/20/14 C310 Equity,8/25/2014,0.3,0.26,0.34,33.64762,0,262.78,0.1490314,310,Call,9/20/2014
