@relation veh-prime-edited

@attribute f0 numeric
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute Class {noncar,car}

@data
0.063,0.16,0.488162,-0.877569,0.060528,0.022061,0.858411,0.355526,1.31156,-0.010945,0.377579,0.024473,-0.390351,-0.24162,0.213567,0.252384,-0.218603,-0.476187,-0.205029,0.76905,-0.357805,-0.002598,-0.349597,0.355349,0.066461,0.297414,-0.3192,-0.85972,-0.054683,0.087126,-0.066203,0.360262,-0.331445,0.913057,0.196192,-0.095487,noncar
-0.037,-0.325,-0.628813,-0.007175,0.145998,-0.425544,0.03445,-0.858297,-0.540436,-0.267477,0.129764,0.360696,-0.039071,-0.559312,0.524959,-0.585036,-0.687424,-0.199731,0.10851,-0.361023,-0.583207,0.00244,-0.695168,0.181291,-0.003502,-0.461655,-0.159062,0.254822,0.616456,0.187302,-0.901605,0.140332,0.060185,-0.334149,0.415634,-0.64168,noncar
-0,1.253,0.72619,-0.965175,1.466205,0.135539,-0.367109,1.198641,0.448651,-0.457803,0.23373,-0.007228,0.082122,1.145775,-1.135301,-0.099795,0.903277,0.028195,-0.004745,0.660113,1.112877,0.78409,1.15809,-0.037881,-0.655814,1.350021,0.107689,-0.377046,1.536786,0.105799,-0.700536,-0.398945,-0.121954,-0.076761,-0.029059,-0.151301,car
-0.743,-0.082,-0.543986,0.629825,0.02868,-0.012605,-0.124955,-0.276624,0.096683,0.310356,0.093581,-0.809666,-0.062037,-0.724409,0.645383,0.070911,-0.607683,0.140266,0.066026,-0.364202,-1.029163,-0.063837,-0.752966,0.812432,0.572459,-1.495559,-1.230893,0.8388,-0.125392,-0.206088,0.022528,-0.330551,1.636514,0.65748,1.504787,-0.046206,noncar
-0.939,-1.054,-0.229672,0.022131,-0.786915,0.00548,-0.396339,1.037554,5.121175,-0.384918,9.470067,-0.500414,0.098657,-0.529745,0.420784,0.135778,-0.672775,1.00486,0.021135,-0.305164,1.613758,0.034269,-0.674556,-0.172916,0.081459,0.361156,7.272557,0.68717,0.535959,0.032953,0.116965,-0.18993,-1.410123,0.013164,-1.715603,0.01192,noncar
-0.247,1.618,1.924913,-0.501738,1.436771,0.181124,0.044663,0.091103,-1.361508,0.704943,-0.594004,0.015018,-0.426736,2.618617,-1.904766,-0.08918,2.829932,-0.048668,-0.73183,1.434807,2.938985,0.135447,2.875886,-0.247554,-0.069936,2.732884,1.688588,-0.701717,-0.204269,0.026354,-0.82581,-0.44116,-1.257902,-0.020256,-1.762075,0.040263,noncar
0,0.403,-0.276856,-0.036137,-0.608385,-0.207462,-0.433647,0.120955,0.505392,-0.095867,-0.544724,0.482169,-0.134744,-0.408491,0.060942,-0.382793,-0.655447,0.129415,-0.151555,-0.292233,-0.355027,-0.007293,-0.401059,0.653623,0.016221,-0.113996,-0.864453,0.337036,1.363844,0.051336,-0.758298,-1.337856,1.86959,0.637528,1.139465,-0.508557,noncar
0.663,-0.447,-0.364264,-0.35235,-0.990071,0.057418,-0.574705,-0.444736,0.529228,-0.331544,0.099427,0.31477,0.002989,-0.914939,0.915555,-0.394388,-0.971055,-0.147105,0.129712,-0.108962,-0.896924,0.355271,-0.954182,0.226127,0.794786,-0.237105,-0.817979,-0.006858,-0.702118,-0.6489,0.106255,-0.982532,0.743159,0.450539,0.905001,0.699471,noncar
0.001,-0.932,-1.812898,0.005809,-1.257387,-0.50762,-0.390035,-0.814117,-0.048259,-0.012034,-0.340785,0.247053,-1.002349,-1.335066,1.64509,0.752741,-1.421345,-0.211566,-0.016819,-1.434379,-1.491845,0.057407,-1.196675,-0.102107,-0.15832,-2.029662,-1.169714,-0.567947,-0.931932,1.010438,-0.428285,0.12172,1.782941,-0.504839,1.686896,-0.1631,noncar
-0.048,-0.082,-0.18545,0.295139,0.951626,-0.275493,0.723505,0.868025,0.087821,0.580603,0.52027,0.23072,1.095591,0.373731,-0.577774,0.525313,0.552937,0.560111,0.182705,-0.211127,0.446321,-0.000631,0.339924,0.158613,-0.023022,-0.654571,-1.098869,0.061853,-0.508887,-0.069358,0.406657,0.152698,0.949566,0.85911,1.147541,0.028124,car
